sample_id,k,start_sec,end_sec,text_coverage,text_mask,audio_frame_count,audio_present,audio_reliable,voiced_ratio,video_frame_count,face_detected_count,face_coverage,mean_face_confidence,vision_mask
-3g5yACwYnA/13,0,0.0,0.11,1.0,1,10,1,1,0.0,4,4,1.0,0.9359610080718994,1
-3g5yACwYnA/13,1,0.11,0.22,1.0,1,11,1,1,0.0,3,3,1.0,0.9373641014099121,1
-3g5yACwYnA/13,2,0.22,0.33,1.0,1,11,1,1,0.0,3,3,1.0,0.9383824467658997,1
-3g5yACwYnA/13,3,0.33,0.44,1.0,1,11,1,1,0.0,4,4,1.0,0.9370234608650208,1
-3g5yACwYnA/13,4,0.44,0.55,1.0,1,11,1,1,0.0,3,3,1.0,0.9349920153617859,1
-3g5yACwYnA/13,5,0.55,0.66,1.0,1,11,1,1,0.0,3,3,1.0,0.9351406097412109,1
-3g5yACwYnA/13,6,0.66,0.77,0.0,0,11,1,0,0.0,4,4,1.0,0.935295820236206,1
-3g5yACwYnA/13,7,0.77,0.88,0.0,0,11,1,0,0.0,3,3,1.0,0.9358312487602234,1
-3g5yACwYnA/13,8,0.88,0.99,0.0,0,11,1,0,0.0,3,3,1.0,0.9351584315299988,1
-3g5yACwYnA/13,9,0.99,1.1,0.0,0,11,1,0,0.0,3,3,1.0,0.9340593218803406,1
-3g5yACwYnA/13,10,1.1,1.21,0.7272727489471436,1,11,1,1,0.0,4,4,1.0,0.9310262203216553,1
-3g5yACwYnA/13,11,1.21,1.32,1.0,1,11,1,1,0.0,3,3,1.0,0.9285314083099365,1
-3g5yACwYnA/13,12,1.32,1.43,1.0,1,11,1,1,0.0,3,3,1.0,0.9292295575141907,1
-3g5yACwYnA/13,13,1.43,1.54,1.0,1,11,1,1,0.0,4,4,1.0,0.9322850704193115,1
-3g5yACwYnA/13,14,1.54,1.65,1.0,1,11,1,1,0.0,3,3,1.0,0.934593141078949,1
-3g5yACwYnA/13,15,1.65,1.76,1.0,1,11,1,1,0.0,3,3,1.0,0.9332866668701172,1
-3g5yACwYnA/13,16,1.76,1.87,1.0,1,11,1,1,0.0,4,4,1.0,0.9329129457473755,1
-3g5yACwYnA/13,17,1.87,1.98,1.0,1,11,1,1,0.0,3,3,1.0,0.9320189952850342,1
-3g5yACwYnA/13,18,1.98,2.09,1.0,1,11,1,1,0.0,3,3,1.0,0.9340574145317078,1
-3g5yACwYnA/13,19,2.09,2.2,1.0,1,11,1,0,0.0,3,3,1.0,0.9361503720283508,1
-3g5yACwYnA/13,20,2.2,2.31,1.0,1,11,1,1,0.0,4,4,1.0,0.9338281750679016,1
-3g5yACwYnA/13,21,2.31,2.42,1.0,1,11,1,1,0.0,3,3,1.0,0.934225857257843,1
-3g5yACwYnA/13,22,2.42,2.53,1.0,1,11,1,1,0.0,3,3,1.0,0.9323017001152039,1
-3g5yACwYnA/13,23,2.53,2.64,1.0,1,11,1,1,0.0,4,4,1.0,0.9320584535598755,1
-3g5yACwYnA/13,24,2.64,2.75,1.0,1,11,1,1,0.0,3,3,1.0,0.9307864308357239,1
-3g5yACwYnA/13,25,2.75,2.86,1.0,1,11,1,1,0.0,3,3,1.0,0.9302666783332825,1
-3g5yACwYnA/13,26,2.86,2.97,1.0,1,11,1,1,0.0,4,4,1.0,0.9306402802467346,1
-3g5yACwYnA/13,27,2.97,3.08,1.0,1,11,1,1,0.0,3,3,1.0,0.9293778538703918,1
-3g5yACwYnA/13,28,3.08,3.19,1.0,1,11,1,1,0.0,3,3,1.0,0.9309988617897034,1
-3g5yACwYnA/13,29,3.19,3.3,1.0,1,11,1,1,0.0,3,3,1.0,0.932751476764679,1
-3g5yACwYnA/13,30,3.3,3.41,1.0,1,11,1,1,0.0,4,4,1.0,0.9347560405731201,1
-3g5yACwYnA/13,31,3.41,3.52,1.0,1,11,1,1,0.0,3,3,1.0,0.9331519603729248,1
-3g5yACwYnA/13,32,3.52,3.63,1.0,1,11,1,1,0.0,3,3,1.0,0.9331037998199463,1
-3g5yACwYnA/13,33,3.63,3.74,1.0,1,11,1,1,0.0,4,4,1.0,0.9320006966590881,1
-3g5yACwYnA/13,34,3.74,3.85,1.0,1,11,1,1,0.0,3,3,1.0,0.9316523671150208,1
-3g5yACwYnA/13,35,3.85,3.96,1.0,1,11,1,1,0.0,3,3,1.0,0.9340125918388367,1
-3g5yACwYnA/13,36,3.96,4.07,1.0,1,11,1,1,0.0,4,4,1.0,0.9331098794937134,1
-3g5yACwYnA/13,37,4.07,4.18,1.0,1,11,1,1,0.0,3,3,1.0,0.9312389492988586,1
-3g5yACwYnA/13,38,4.18,4.29,1.0,1,11,1,1,0.0,3,3,1.0,0.9319059252738953,1
-3g5yACwYnA/13,39,4.29,4.4,1.0,1,11,1,1,0.0,3,3,1.0,0.9326725006103516,1
-3g5yACwYnA/13,40,4.4,4.51,1.0,1,11,1,1,0.0,4,4,1.0,0.9345131516456604,1
-3g5yACwYnA/13,41,4.51,4.62,1.0,1,11,1,1,0.0,3,3,1.0,0.9341943860054016,1
-3g5yACwYnA/13,42,4.62,4.73,1.0,1,11,1,1,0.0,3,3,1.0,0.9354540705680847,1
-3g5yACwYnA/13,43,4.73,4.84,1.0,1,11,1,1,0.0,4,4,1.0,0.9346413612365723,1
-3g5yACwYnA/13,44,4.84,4.95,0.27272728085517883,1,11,1,0,0.0,3,3,1.0,0.9307591915130615,1
-3g5yACwYnA/13,45,4.95,5.06,0.0,0,11,1,0,0.0,3,3,1.0,0.9306468963623047,1
-3g5yACwYnA/13,46,5.06,5.17,0.0,0,11,1,0,0.0,4,4,1.0,0.9320446848869324,1
-3g5yACwYnA/13,47,5.17,5.28,0.0,0,11,1,0,0.0,3,3,1.0,0.9335201382637024,1
