query_grid\key_grid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.017695803195238113,0.02006746456027031,0.019999181851744652,0.019999181851744652,0.019999181851744652,0.019999181851744652,0.02001597359776497,0.019968030974268913,0.020065803080797195,0.020073480904102325,0.020073480904102325,0.020073480904102325,0.02003653533756733,0.020059045404195786,0.02013881877064705,0.020175373181700706,0.020071769133210182,0.020143866539001465,0.020143866539001465,0.020098386332392693,0.02010219357907772,0.02010219357907772,0.020059116184711456,0.019979244098067284,0.019964080303907394,0.02010621502995491,0.020171167328953743,0.020154055207967758,0.020396005362272263,0.020396005362272263,0.020184876397252083,0.020310454070568085,0.0206731166690588,0.020526167005300522,0.02018212340772152,0.02018212340772152,0.02003088966012001,0.020003294572234154,0.019993767142295837,0.019980838522315025,0.019980838522315025,0.019980838522315025,0.019991567358374596,0.019991567358374596,0.020189980044960976,0.020045965909957886,0.01998516172170639,0.019650062546133995,0.020092375576496124,0.017695803195238113
1,0.01820213533937931,0.020140036940574646,0.02001074329018593,0.02001074329018593,0.02001074329018593,0.02001074329018593,0.01977170631289482,0.02003352716565132,0.02015666291117668,0.02020091563463211,0.02020091563463211,0.02020091563463211,0.020062847062945366,0.020070627331733704,0.02014373242855072,0.020233409479260445,0.02013235166668892,0.01999634876847267,0.01999634876847267,0.02014297991991043,0.020117126405239105,0.020117126405239105,0.019997000694274902,0.019866760820150375,0.019835837185382843,0.02010037750005722,0.02013343945145607,0.020209403708577156,0.020225323736667633,0.020225323736667633,0.020227782428264618,0.020303893834352493,0.020696774125099182,0.0204551313072443,0.02005685120820999,0.02005685120820999,0.01978764496743679,0.020016610622406006,0.020012807101011276,0.01999935880303383,0.01999935880303383,0.01999935880303383,0.01986779272556305,0.01986779272556305,0.020117437466979027,0.020240454003214836,0.01997523196041584,0.019497539848089218,0.020063050091266632,0.01820213720202446
2,0.018216922879219055,0.02014407515525818,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.019772842526435852,0.02003280445933342,0.020158763974905014,0.020203474909067154,0.020203474909067154,0.020203474909067154,0.020061397925019264,0.02007080242037773,0.02014041133224964,0.020235486328601837,0.020133690908551216,0.01999073103070259,0.01999073289334774,0.02014376036822796,0.020117804408073425,0.020117804408073425,0.019994374364614487,0.019864454865455627,0.019832173362374306,0.020096009597182274,0.020129263401031494,0.02020978555083275,0.02021888643503189,0.02021888643503189,0.020229047164320946,0.02029997855424881,0.020691530779004097,0.020448874682188034,0.020054567605257034,0.020054567605257034,0.019786981865763664,0.020020093768835068,0.020016446709632874,0.020002519711852074,0.020002519711852074,0.020002519711852074,0.019866453483700752,0.019866453483700752,0.020115938037633896,0.020241258665919304,0.019969886168837547,0.019488636404275894,0.020062711089849472,0.018216921016573906
3,0.018216922879219055,0.02014407515525818,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.019772842526435852,0.02003280445933342,0.020158763974905014,0.020203474909067154,0.020203474909067154,0.020203474909067154,0.020061397925019264,0.02007080242037773,0.02014041133224964,0.020235486328601837,0.020133690908551216,0.01999073103070259,0.01999073289334774,0.02014376036822796,0.020117804408073425,0.020117804408073425,0.019994374364614487,0.019864454865455627,0.019832173362374306,0.020096009597182274,0.020129263401031494,0.02020978555083275,0.02021888643503189,0.02021888643503189,0.020229047164320946,0.02029997855424881,0.020691530779004097,0.020448874682188034,0.020054567605257034,0.020054567605257034,0.019786981865763664,0.020020093768835068,0.020016446709632874,0.020002519711852074,0.020002519711852074,0.020002519711852074,0.019866453483700752,0.019866453483700752,0.020115938037633896,0.020241258665919304,0.019969886168837547,0.019488636404275894,0.020062711089849472,0.018216921016573906
4,0.018216922879219055,0.02014407515525818,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.019772842526435852,0.02003280445933342,0.020158763974905014,0.020203474909067154,0.020203474909067154,0.020203474909067154,0.020061397925019264,0.02007080242037773,0.02014041133224964,0.020235486328601837,0.020133690908551216,0.01999073103070259,0.01999073289334774,0.02014376036822796,0.020117804408073425,0.020117804408073425,0.019994374364614487,0.019864454865455627,0.019832173362374306,0.020096009597182274,0.020129263401031494,0.02020978555083275,0.02021888643503189,0.02021888643503189,0.020229047164320946,0.02029997855424881,0.020691530779004097,0.020448874682188034,0.020054567605257034,0.020054567605257034,0.019786981865763664,0.020020093768835068,0.020016446709632874,0.020002519711852074,0.020002519711852074,0.020002519711852074,0.019866453483700752,0.019866453483700752,0.020115938037633896,0.020241258665919304,0.019969886168837547,0.019488636404275894,0.020062711089849472,0.018216921016573906
5,0.018216922879219055,0.02014407515525818,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.020014949142932892,0.019772842526435852,0.02003280445933342,0.020158763974905014,0.020203474909067154,0.020203474909067154,0.020203474909067154,0.020061397925019264,0.02007080242037773,0.02014041133224964,0.020235486328601837,0.020133690908551216,0.01999073103070259,0.01999073289334774,0.02014376036822796,0.020117804408073425,0.020117804408073425,0.019994374364614487,0.019864454865455627,0.019832173362374306,0.020096009597182274,0.020129263401031494,0.02020978555083275,0.02021888643503189,0.02021888643503189,0.020229047164320946,0.02029997855424881,0.020691530779004097,0.020448874682188034,0.020054567605257034,0.020054567605257034,0.019786981865763664,0.020020093768835068,0.020016446709632874,0.020002519711852074,0.020002519711852074,0.020002519711852074,0.019866453483700752,0.019866453483700752,0.020115938037633896,0.020241258665919304,0.019969886168837547,0.019488636404275894,0.020062711089849472,0.018216921016573906
6,0.018078558146953583,0.020147912204265594,0.02002263441681862,0.02002263441681862,0.02002263441681862,0.02002263441681862,0.019779708236455917,0.0200426634401083,0.020165393128991127,0.020209919661283493,0.020209919661283493,0.020209919661283493,0.020067686215043068,0.02007492631673813,0.020144186913967133,0.020242270082235336,0.02014213055372238,0.020000319927930832,0.020000319927930832,0.02015017904341221,0.02012520655989647,0.02012520655989647,0.019994378089904785,0.01986749656498432,0.019832318648695946,0.02009763941168785,0.02012903429567814,0.020213650539517403,0.02021791972219944,0.02021791972219944,0.02023341692984104,0.020302439108490944,0.020685167983174324,0.02045060321688652,0.02006160281598568,0.02006160281598568,0.019793855026364326,0.020027808845043182,0.020021425560116768,0.020004622638225555,0.020004622638225555,0.020004622638225555,0.0198752973228693,0.0198752973228693,0.020121147856116295,0.020248910412192345,0.019988710060715675,0.019515272229909897,0.020067697390913963,0.018078558146953583
7,0.018094414845108986,0.020148860290646553,0.020021772012114525,0.020021772012114525,0.020021772012114525,0.020021772012114525,0.01977027952671051,0.020029738545417786,0.020162133499979973,0.02020837366580963,0.02020837366580963,0.02020837366580963,0.020058799535036087,0.02007073163986206,0.020137645304203033,0.020239105448126793,0.020139988511800766,0.019998744130134583,0.019998744130134583,0.020153937861323357,0.020127063617110252,0.020127063617110252,0.019997596740722656,0.019867978990077972,0.01983559876680374,0.020098291337490082,0.020133448764681816,0.020219217985868454,0.020224517211318016,0.020224517211318016,0.020238041877746582,0.020311908796429634,0.02070365659892559,0.020453283563256264,0.020063836127519608,0.020063836127519608,0.01979544386267662,0.020029958337545395,0.020021993666887283,0.020004384219646454,0.020004384219646454,0.020004384219646454,0.01987031102180481,0.01987031102180481,0.020119251683354378,0.020243603736162186,0.019969353452324867,0.01949792169034481,0.02006910927593708,0.018094412982463837
8,0.01817227341234684,0.020147060975432396,0.02001665160059929,0.02001665160059929,0.02001665160059929,0.02001665160059929,0.019769156351685524,0.020028863102197647,0.02015937864780426,0.02020520344376564,0.02020520344376564,0.02020520344376564,0.02005770429968834,0.020069383084774017,0.02014104276895523,0.020236801356077194,0.020136099308729172,0.019994299858808517,0.019994299858808517,0.02014884725213051,0.020121928304433823,0.020121928304433823,0.019995860755443573,0.01986428163945675,0.01983209326863289,0.020097870379686356,0.020132634788751602,0.020215434953570366,0.020224744454026222,0.020224744454026222,0.02023494616150856,0.020307334139943123,0.020702015608549118,0.020454993471503258,0.020058099180459976,0.020058099180459976,0.019788049161434174,0.02002350613474846,0.020018400624394417,0.020002860575914383,0.020002860575914383,0.020002860575914383,0.019866228103637695,0.019866228103637695,0.02011740766465664,0.020241282880306244,0.019963610917329788,0.01948481798171997,0.020065169781446457,0.01817227154970169
9,0.01820155791938305,0.020145580172538757,0.020014163106679916,0.020014163106679916,0.020014163106679916,0.020014163106679916,0.019766520708799362,0.02002698928117752,0.020157791674137115,0.020203707739710808,0.020203707739710808,0.020203707739710808,0.02005620300769806,0.02006789855659008,0.02014051377773285,0.02023576945066452,0.02013421431183815,0.019993368536233902,0.019993368536233902,0.02014753594994545,0.020120270550251007,0.020120270550251007,0.01999501883983612,0.019862718880176544,0.019831284880638123,0.020098170265555382,0.02013303153216839,0.020214896649122238,0.020226076245307922,0.020226076245307922,0.020234189927577972,0.020307356491684914,0.02070394717156887,0.02045626938343048,0.020056623965501785,0.020056623965501785,0.0197853185236454,0.020020950585603714,0.020016681402921677,0.020001471042633057,0.020001471042633057,0.020001471042633057,0.019864875823259354,0.019864875823259354,0.02011711709201336,0.020240480080246925,0.019961601123213768,0.01948058232665062,0.02006363682448864,0.01820155791938305
