sample_id,video_id,clip_id,relative_video_path,duration_used_sec,duration_used_source,duration_container_sec,duration_video_stream_sec,duration_audio_stream_sec,duration_video_decoded_sec,duration_audio_decoded_sec,duration_container_minus_used_sec,duration_video_stream_minus_used_sec,duration_audio_video_decoded_difference_sec,video_start_sec,audio_start_sec,first_video_pts_sec,last_video_pts_sec,first_audio_pts_sec,last_audio_pts_sec,decoded_frame_count,decoded_audio_frame_count,video_decode_complete,audio_decode_complete,negative_video_pts_count,nonmonotonic_video_pts_count,missing_video_pts_count,fps_nominal,fps,fps_decoded,width,height,original_audio_rate,original_audio_channels,text_word_count,forced_aligned_word_count,interpolated_word_count,proportional_fallback_word_count,text_word_boundary_coverage,text_valid_bins,audio_present_bins,audio_reliable_bins,audio_valid_bins,voiced_ratio_global,vision_valid_bins,face_coverage_global,mean_face_confidence_global,text_shape,audio_shape,vision_shape,prepare_status,source_video_sha256,wav_sha256,alignment_text_sha256,mfa_cache_key,warning_codes,error,status,text_cleaning_changes
-3g5yACwYnA/13,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,5.5,decoded_video_pts_span,5.513997,5.513997,5.399002,5.5,5.399092970521542,0.013996999999999815,0.013996999999999815,-0.1009070294784582,0.0,0.0,0.0,5.466666666666667,0.0,5.375873015873016,163,233,True,True,0,0,0,30/1,30/1,29.636363636363637,1280,720,44100,2,15,15,0,0,1.0,41,49,39,39,0.0,50,1.0,0.9332616329193115,1x50x128,1x50x74,1x50x52,ok,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,8f5e703ff96d2fa529af0c95a6fa72f998d5bb3a974ff2057310382da55d10ef,d2befc74ee144a77fd11522bc40f846f546add6ad621670fc5c679209b7cb005,739d67f5e3f51120597cc8b497e879d8ee77d1cf07ad530c7e15b68cb25d6391,,,ok,punctuation_and_extra_whitespace_normalized
-3g5yACwYnA/3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,14.366666666666667,decoded_video_pts_span,14.388997,14.388997,14.328005,14.366666666666667,14.327868480725623,0.022330333333332675,0.022330333333332675,-0.038798185941043783,0.0,0.0,0.0,14.333333333333334,0.0,14.304648526077097,431,618,True,True,0,0,0,30/1,30/1,30.0,1280,720,44100,2,29,29,0,0,1.0,43,50,47,47,0.0,50,1.0,0.9422110319137573,1x50x128,1x50x74,1x50x52,ok,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,712e72dcd152265ef1998e4dcdc9eb54c183453365d8a0b79d8b05a2779b1383,9fe5cc4c84adfb624d83ebeed3d8ab9c9f408cdf74b41d8706ca965a2de64c8f,6c0a55cbd506aa32daaf71ad6f09c3cae78b4dd0f17576a51c88bba93371bf96,,,ok,punctuation_and_extra_whitespace_normalized
-3g5yACwYnA/2,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,9.366666666666667,decoded_video_pts_span,9.39401,9.39401,9.230998,9.366666666666667,9.231292517006803,0.02734333333333261,0.02734333333333261,-0.13537414965986372,0.0,0.0,0.0,9.333333333333334,0.0,9.208072562358277,278,398,True,True,0,0,0,30/1,30/1,29.6797153024911,1280,720,44100,2,14,14,0,0,1.0,44,50,43,43,0.0,50,1.0,0.9435510635375977,1x50x128,1x50x74,1x50x52,ok,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,9a567c1e0d2aeb8ac4f92bc4747727e627a7d9e191e64d645b84c92cd4c1bf66,3ed14adb291d57a9b43af3575ee6f06ea60586e42d3b05ce0c95f288399afdcd,9797701eff118e3a00979fddefb4834d4c981c411627c4945d673febe8319494,,,ok,punctuation_and_extra_whitespace_normalized
-3g5yACwYnA/9,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,8.8,decoded_video_pts_span,8.816992,8.816992,8.696009,8.8,8.696145124716553,0.016992000000000118,0.016992000000000118,-0.10385487528344761,0.0,0.0,0.0,8.766666666666667,0.0,8.672925170068027,263,375,True,True,0,0,0,30/1,30/1,29.886363636363633,1280,720,44100,2,23,23,0,0,1.0,41,50,40,40,0.0,50,1.0,0.9384971261024475,1x50x128,1x50x74,1x50x52,ok,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,e61b28d8d8f6338caab0534682c34ef24a3c38f7c701a7ff0d786903f557d02c,99952c6a6fd9d475443c8f4f648777b7156f23bcb8765dbea4d50806ba22eabb,d38b0daa9bbf162712747ad8b9406d75172708684a3b713f78cbee52a715d285,,,ok,punctuation_and_extra_whitespace_normalized
-3nNcZdcdvU/5,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,7.866666666666666,decoded_video_pts_span,7.867969,7.867969,7.788005,7.866666666666666,7.788571428571428,0.0013023333333341824,0.0013023333333341824,-0.078095238095238,0.0,0.0,0.0,7.833333333333333,0.0,7.765351473922903,236,336,True,True,0,0,0,30/1,30/1,30.0,320,240,44100,1,18,18,0,0,1.0,43,50,49,49,0.1377091377091377,50,0.9872881355932204,0.928382158279419,1x50x128,1x50x74,1x50x52,ok,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,25e02a4ae78b88513bd558983103960cab2af67c176aa9a6c0d1c8fd79ac4026,20a94ddea1eeb58743726b4f40eb58e7f9fa6c59589ec7d7f06a6219c16594e5,63abe05cf69c6c8e53cd648bb930cb18b369818e3c5ab7074074f3387627f162,,,ok,punctuation_and_extra_whitespace_normalized
-HwX2H8Z4hY/2,-HwX2H8Z4hY,2,-HwX2H8Z4hY/2.mp4,3.9666666666666663,decoded_video_pts_span,3.982031,3.982031,3.916009,3.9666666666666663,3.915827664399093,0.015364333333333757,0.015364333333333757,-0.05083900226757354,0.0,0.0,0.0,3.933333333333333,0.0,3.8926077097505667,119,169,True,True,0,0,0,30/1,30/1,30.000000000000004,1280,720,44100,2,7,7,0,0,1.0,21,50,50,50,0.0,11,0.2184873949579832,0.92351233959198,1x50x128,1x50x74,1x50x52,ok,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,870313316f8bd31d41da54c9d022d7a8506f64372083103c58d7df518ae282ba,3c425dc14ca4eb6762bcf44289def6150ea8d60e89288f74ca0fd3af8acda42c,f6ef193cf94cf618d0089e1420802286dc9e461505670fb5281c4ba2b888aed4,,,ok,bracket_delimiters_removed_but_content_preserved_in_alignment_copy|quotes_and_dashes_canonicalized|punctuation_and_extra_whitespace_normalized
-HwX2H8Z4hY/5,-HwX2H8Z4hY,5,-HwX2H8Z4hY/5.mp4,5.633333333333333,decoded_video_pts_span,5.652995,5.652995,5.543991,5.633333333333333,5.544036281179138,0.01966166666666691,0.01966166666666691,-0.08929705215419492,0.0,0.0,0.0,5.6,0.0,5.520816326530612,168,239,True,True,0,0,0,30/1,30/1,29.822485207100595,1280,720,44100,2,9,9,0,0,1.0,40,50,50,50,0.009057971014492754,17,0.30952380952380953,0.9389362335205078,1x50x128,1x50x74,1x50x52,ok,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,20338749afe65e2d266d09268bc962d161b5faf90da84c33e7e1a7591b7c4232,823e99e15c427e2827272a875bf6d35d82403d21e2a39cf9593ea5b66fc26478,e4252a11ea6e4c193d4a2c785bed93eb26a50d99cb0d8bbead410c78486cfd07,,,ok,punctuation_and_extra_whitespace_normalized
-HwX2H8Z4hY/6,-HwX2H8Z4hY,6,-HwX2H8Z4hY/6.mp4,3.333333333333333,decoded_video_pts_span,3.358008,3.358008,3.256009,3.333333333333333,3.2559863945578233,0.024674666666666845,0.024674666666666845,-0.07734693877550969,0.0,0.0,0.0,3.3,0.0,3.2327664399092972,99,141,True,True,0,0,0,30/1,30/1,29.700000000000003,1280,720,44100,2,7,7,0,0,1.0,31,49,49,49,0.0,32,0.6161616161616161,0.935182511806488,1x50x128,1x50x74,1x50x52,ok,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,ae77e93d4a39dcb98c6243f0dd97a500f41d56c05b6d8e146b4b3151f47f49bc,45a2dd220852f379486791e55e257dd6c96a90d6375bdb9661e1c80e2649fa82,6b03d7293368ab3af505ab65f54c53351fa91d7ab50503d5a53f9ba88e294ef9,,,ok,punctuation_and_extra_whitespace_normalized
-HwX2H8Z4hY/9,-HwX2H8Z4hY,9,-HwX2H8Z4hY/9.mp4,7.733333333333333,decoded_video_pts_span,7.733984,7.733984,7.637007,7.733333333333333,7.636326530612244,0.0006506666666670213,0.0006506666666670213,-0.09700680272108908,0.0,0.0,0.0,7.7,0.0,7.613106575963719,232,329,True,True,0,0,0,30/1,30/1,30.0,1280,720,44100,2,22,22,0,0,1.0,47,50,50,50,0.0,0,0.0,0.0,1x50x128,1x50x74,1x50x52,ok,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,29323d4be4f5834bb80e3f1a011ad73be95567c863669ee0f627fdcb9303149e,fdee80885380c77db2ebfa7a8719d20c19e2dac63dfaa0180f6bbed62bd1944d,ffa30427b5b20d5d9cd45288448520c944eadd5e7b4239865bb25732ff8139f7,low_global_face_coverage|no_reliable_vision_windows,,degraded,punctuation_and_extra_whitespace_normalized
-NFrJFQijFE/1,-NFrJFQijFE,1,-NFrJFQijFE/1.mp4,5.72,decoded_video_pts_span,5.746,5.746,5.659002,5.72,5.658866213151927,0.02600000000000069,0.02600000000000069,-0.0611337868480728,0.0,0.0,0.0,5.68,0.0,5.635646258503401,142,244,True,True,0,0,0,25/1,25/1,24.825174825174827,1280,720,44100,2,16,16,0,0,1.0,20,50,50,50,0.0035460992907801418,0,0.0,0.0,1x50x128,1x50x74,1x50x52,ok,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,c7f9c8f643ee02896306cc17c5d6e6d43742701b99911556e3b87901cf58eb78,13e7dea70587d51a0742f18b0bf5ce19c0b73ce03c8b72166f9afe3d06f28c31,5cb9f84de7be694830ea0c7183618c5041a857535e1e2ffd0fa3ac0fcccd449f,low_global_face_coverage|no_reliable_vision_windows,,degraded,punctuation_and_extra_whitespace_normalized
